G112 Rocket Motor,,,,,
Item,Description,Quantity,Unit Price ,Total Price ,Links
Nozzle,"CNC nozzle made 
of 304 stainless steel",1,$61.32,$61.32,https://drive.google.com/file/d/1qLKecg6mItu3cTvqQxj53dMOK-3eE3X2/view?usp=sharing
Casing,"CNC casing made of 
6061 aluminium",1,$61.66,$61.66,https://drive.google.com/file/d/1qLKecg6mItu3cTvqQxj53dMOK-3eE3X2/view?usp=sharing
Bulkhead,"CNC bulkhead made
6061 aluminium",1,$16.46,$16.46,https://drive.google.com/file/d/1qLKecg6mItu3cTvqQxj53dMOK-3eE3X2/view?usp=sharing
CNC Shipping,Shipping cost,1,$16.22,$16.22,https://drive.google.com/file/d/1qLKecg6mItu3cTvqQxj53dMOK-3eE3X2/view?usp=sharing
-121 O-ring,"O-ring used for sealing
gases in casing",15,$0.09,$1.35,https://www.tokopedia.com/ichibanseal/oring-as-121-26-6x2-62-id-26-6-mm-x-tebal-2-62-mm-nbr
H31 Snap ring,"Snap rings used to hold
nozzle and bulkhead in
place",2,$1.88,$3.76,https://www.tokopedia.com/ray-fasteners/ss304-snap-ring-stainless-h31-internal-circlip-snapring-type-h-31mm
300 gsm kraft paper,"Used as a thermal liner
between the propellant
and casing",15,$0.24,$3.60,https://www.tokopedia.com/megajayaoffset/kertas-kraft-coklat-ukuran-plano-90x120-150-gsm-200-gsm-300-gsm-400-gsm-paper-stationery-1731305335833593809
Snap ring pliers,"Used to properly insert
and remove the snap
rings",1,$1.78,$1.78,https://www.tokopedia.com/jld-tool-shop/jld-tang-snap-ring-set-4in1-set-buka-tutup-lurus-bengkok-tang-circlip-snapring-4pcs-1730173486988231959
1kg sorbitol,"Used as the fuel of the
rocket motor",1,$6.03,$6.03,https://www.tokopedia.com/putrapanganprima/pemanis-sorbitol-bubuk-powder-serbuk-food-grade-100gr-250gr-500gr-1kg-1-kg-d9cf3
1kg potassium nitrate,"Used as the oxidiser of
the rocket motor",1,$3.25,$3.25,https://www.tokopedia.com/cocoingid/pupuk-potassium-nitrate-kno3-kingenta-repack-1-kg-80056
1 kg iron oxide,"Used as a catalyst in the
propellant",1,$2.08,$2.08,https://www.tokopedia.com/niochemical/iron-oxide-red-merah-1kg-1731250527442601696
Electric Stove,Used to cook the propellant,1,$7.18,$7.18,https://www.tokopedia.com/masterpack/starlux-kompor-listrik-1-tungku-mini-portable-5-gear-hot-plate-1000w-1730307075290793432?extParam=ivf%3Dfalse%26keyword%3Delectric+stove%26search_id%3D2026032003252834ED066DF378EF0B6KUA%26src%3Dsearch&t_id=1773976031010&t_st=13&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Infared thermometer,"Used to measure 
temperature of 
propellant  and post burn 
motor",1,$4.78,$4.78,https://www.tokopedia.com/dibudgetin/taffware-thermogun-thermometer-industrial-laser-infrared-noncontact-cx6000-1730055662659798278
Digital scale,"Used to measure 
ingredients of propellant",1,$2.96,$2.96,https://www.tokopedia.com/jaya-indah-2/timbangan-emas-500gr-0-01gr-perhiasan-digital-pocket-gold-scales
Wood glue,Used to make the liner,1,$2.07,$2.07,https://www.tokopedia.com/aqualuxeid/aqualuxe-woodglue-lem-kayu-pvac-1kg-putih-super-kuat-cepat-kering-untuk-plamir-tembok-kertas-waterproof-dan-invisible-1729714230650176540
PET-CF Filament,"Used to make KNSB molds
and for any high heat 
resistant parts",1,$24.75,$24.75,https://www.tokopedia.com/indocart/3d-printer-filament-polymaker-fiberon-pet-cf17-carbon-fiber-reinforced-pet-filament-1-75mm-500gr-1731307743431722527?t_id=1773976031010&t_st=5&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
200 gsm kraft paper,Used as a grain inhibitor,1,$0.53,$0.53,https://www.tokopedia.com/kraftboss/kertas-kraft-liner-samson-brown-kraft-coklat-uk-a4-paket-isi-50-termurah-paper-1730794130547704845
Silicone grease,Used to seal the o-ring,1,$0.49,$0.49,https://www.tokopedia.com/efst/silicone-grease-o-ring-lube-gemuk-sil-rubber-karet-seal-gear-high-temp-1729705061221959855?extParam=ivf%3Dfalse%26keyword%3Dsilicone+grease%26search_id%3D202603200315138D3BBA7425E7C909B0GZ%26src%3Dsearch&t_id=1773975627319&t_st=5&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
,,,Total Cost:,$220.27,
,,,,,
,,,,,
CO2 Recovery System,,,,,
Item,Description,Quantity,Unit Price,Total Price,Links
CO2 Cartridges,"Used as the rapid
expanding gas",2,$3.85,$7.70,https://www.tokopedia.com/tulungagung-outdoors-2/gas-co2-airsoft-murah-tulungagung-luar-jawa-wajib-pakai-pos-jangan-j-t-1731589478173344929
ESP32-C3 Super Mini,"The microcontroller used 
to activate a servo
at a specific altitude",1,$2.96,$2.96,https://www.tokopedia.com/ichibot/esp32-c3-supermini-development-board-dengan-wifi-dan-bluetooth-built-in-4m-flash-memory-esp32-belum-tersolder
GY-BMP-280,"A barometer module
use as an altimeter for the
ESP32",1,$0.66,$0.66,https://www.tokopedia.com/solarperfect/gy-bmp280-3-3-high-precision-atmospheric-pressure-sensor-module-gy-280
