G112 Rocket Motor,,,,,
Item,Description,Quantity,Unit Price ,Total Price ,Links
Nozzle,"CNC nozzle made 
of 304 stainless steel",1,$64.33,$64.33,https://drive.google.com/file/d/1FW6xyB7vkZJ01Jm_9k6G-RV7ilLzCY_d/view?usp=sharing
Casing,"CNC casing made of 
6061 aluminium",1,$70.01,$70.01,https://drive.google.com/file/d/1gcDKhTj_kWKR1uE6eL6LAUmwJq2hkqq-/view?usp=sharing
Bulkhead,"CNC bulkhead made
6061 aluminium",1,$19.73,$19.73,https://drive.google.com/file/d/1FW6xyB7vkZJ01Jm_9k6G-RV7ilLzCY_d/view?usp=sharing
CNC Shipping 1,Shipping cost,1,$17.00,$17.00,https://drive.google.com/file/d/1FW6xyB7vkZJ01Jm_9k6G-RV7ilLzCY_d/view?usp=sharing
CNC Shipping 2,Secondary shipping cost due misinput on one of the items.,1,$1.50,$1.50,https://drive.google.com/file/d/1gcDKhTj_kWKR1uE6eL6LAUmwJq2hkqq-/view?usp=sharing
-120 O-ring,"O-ring used for sealing
gases in casing",20,$0.09,$1.80,https://www.tokopedia.com/ichibanseal/oring-as-120-25-0x2-62-id-25-0-mm-x-tebal-2-62-mm-nbr-1731112036310419029?t_id=1774583242925&t_st=7&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
-121 O-ring,"O-ring used for sealing
gases in casing",20,$0.09,$1.80,https://www.tokopedia.com/ichibanseal/oring-as-121-26-6x2-62-id-26-6-mm-x-tebal-2-62-mm-nbr
H31 Snap ring,"Snap rings used to hold
nozzle and bulkhead in
place",2,$1.88,$3.76,https://www.tokopedia.com/ray-fasteners/ss304-snap-ring-stainless-h31-internal-circlip-snapring-type-h-31mm
310 gsm kraft paper,"Used as a thermal liner
between the propellant
and casing",1,$0.88,$0.88,https://www.tokopedia.com/kraftboss/kertas-kraft-liner-samson-brown-kraft-coklat-uk-a4-paket-isi-50-termurah-paper-1730794130547835917?t_id=1774713139184&t_st=10&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
1kg sorbitol,"Used as the fuel of the
rocket motor",1,$6.03,$6.03,https://www.tokopedia.com/putrapanganprima/pemanis-sorbitol-bubuk-powder-serbuk-food-grade-100gr-250gr-500gr-1kg-1-kg-d9cf3
1kg potassium nitrate,"Used as the oxidiser of
the rocket motor",1,$3.25,$3.25,https://www.tokopedia.com/cocoingid/pupuk-potassium-nitrate-kno3-kingenta-repack-1-kg-80056
1 kg iron oxide,"Used as a catalyst in the
propellant",1,$2.08,$2.08,https://www.tokopedia.com/niochemical/iron-oxide-red-merah-1kg-1731250527442601696
Wood glue,"Used to make the liner, motor mount, and grain inhibitor",1,$2.07,$2.07,https://www.tokopedia.com/aqualuxeid/aqualuxe-woodglue-lem-kayu-pvac-1kg-putih-super-kuat-cepat-kering-untuk-plamir-tembok-kertas-waterproof-dan-invisible-1729714230650176540
PET-CF Filament,"Used to make KNSB molds
and for any high heat 
resistant parts",1,$24.75,$24.75,https://www.tokopedia.com/indocart/3d-printer-filament-polymaker-fiberon-pet-cf17-carbon-fiber-reinforced-pet-filament-1-75mm-500gr-1731307743431722527?t_id=1773976031010&t_st=5&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
200 gsm kraft paper,Used as a grain inhibitor,1,$0.53,$0.53,https://www.tokopedia.com/kraftboss/kertas-kraft-liner-samson-brown-kraft-coklat-uk-a4-paket-isi-50-termurah-paper-1730794130547704845
Silicone grease,Used to seal the o-ring,2,$0.56,$1.12,https://www.tokopedia.com/alesya-market-store/anoso-pelumas-o-ring-grade-silicon-grease-lubricant-10g-sgl6502
,,,Total Cost:,$220.64,
,,,,,
,,,,,
CO2 Recovery System,,,,,
Item,Description,Quantity,Unit Price,Total Price,Links
CO2 Cartridges,"Used as the rapid
expanding gas",2,$2.77,$5.54,https://www.tokopedia.com/esgtactical/co2-pompa-sepeda-usa-gold-gamo-original-1-kotak-isi-5pcs-12gr-1734388919894246627?extParam=ivf%3Dfalse%26keyword%3Dco2+airgun%26search_id%3D2026040207062094F6D7E04A4D451E5LZW%26src%3Dsearch&t_id=1775113615331&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
ESP32-C3 Super Mini,"The microcontroller used 
to activate a servo
at a specific altitude",1,$2.96,$2.96,https://www.tokopedia.com/ichibot/esp32-c3-supermini-development-board-dengan-wifi-dan-bluetooth-built-in-4m-flash-memory-esp32-belum-tersolder
GY-BMP-280,"A barometer module
use as an altimeter for the
ESP32",1,$0.66,$0.66,https://www.tokopedia.com/solarperfect/gy-bmp280-3-3-high-precision-atmospheric-pressure-sensor-module-gy-280
24 AWG Silicone Wire,"Used as the connectors 
between the 5V BEC and
ESP32 and MG996R 
servo",1,$0.12,$0.12,https://www.tokopedia.com/dielectronics/24-awg-high-quality-silicone-wire-cable-kabel-silikon-serabut-putih-biru
28 AWG Wire,"Used as the connector 
between the ESP32 and
GY-BMP-280",1,$0.12,$0.12,https://www.tokopedia.com/cncstorebandung/kabel-serabut-awg-28-awg28-high-quality-hitam
5V 3A BEC Converter,"A converter
between the 7.6v 2S
LiPo battery and 
components",1,$1.90,$1.90,https://www.tokopedia.com/alladinshop/bluesky-3a-5v-ubec-bec-vdc-dc-converter-step-down-module-mini-fpv
350 MaH 2S LiPo Battery,"Used as the main power
source for on board
avionics",1,$4.24,$4.24,https://www.tokopedia.com/justshopit/cnhl-lihv-ministar-hv-350mah-7-6v-2s-70c-lipo-battery-xt30
XT30 Plug connector,"Allows the battery to plug
into the BEC converter",1,$0.53,$0.53,https://www.tokopedia.com/justshopit/amass-xt30-xt30u-plug-connector-female-male-lipo-battery-for-rc-fpv-drone-1729895395040659171
Heat shrink wire covers set,"Allow for cleaner and 
sturdier connections",1,$0.65,$0.65,https://www.tokopedia.com/skf88/heat-shrink-kabel-164-530pcs-isolasi-bakar-tube-selang-bakar-bahan-polyolefin-warna-warni-1732990049052886837
,,,Total Cost:,$16.72,
,,,,,
,,,,,
Rocket Body Construction,,,,,
Item,Description,Quantity,Unit Price,Total Price,Links
Parachute,"Will be used as the 
recovery system",1,$1.72,$1.72,https://www.tokopedia.com/penny-y/2pcs-mainan-parasut-anak-mainan-anak-terjun-payung-terjun-payung-mainan-payung-terjun-merah-2pcs-6cad4
Sandpaper,Used to smooth out the rocket body,2,$0.51,$1.02,https://www.tokopedia.com/ud-33/paket-amplas-auto-kinclong-duco-lembar-320-2000-3000-1dfe8?t_id=1774713139184&t_st=19&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
4mm Paracord per meter,"Used as a shock cord 
connecting the nose to the
rocket body during recovery",4,$0.71,$2.84,https://www.tokopedia.com/acckingdom47/genuine-tali-paracord-550-4mm-asli-premium-kuat-motif-multicolor-uv-resistant-anti-pudar-survival-cord-serbaguna-gunung-panjat-tebing-tenda-bahan-kerajinan-gelang-diy-bukan-prusik-outdoor-rope-1731017917458777422?t_id=1774713139184&t_st=14&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
,,,Total Cost:,$5.58,
,,,,,
,,,,,
Launchpad and Igniter,,,,,
Item,Description,Quantity,Unit Price,Total Price,Links
15 cm Stainless steel disk,"Used for redicrecting the hot 
exhaust gas during launch",1,$1.48,$1.48,https://www.tokopedia.com/ajm175/plat-bulat-stainless-1-2-mm-uk-5-20-cm-1731311695462827268
155cm Stainless steel rod,"Used as the launch rod to
guide the rocket during 
takeoff",1,$7.75,$7.75,https://www.tokopedia.com/rajawali3d/smooth-rod-stainless-steel-304-10mm-per-cm-linear-shaft-rail
ESP32 DevKit v1,Used for wireless ignition,1,$5.08,$5.08,https://www.tokopedia.com/cncstorebandung/esp32-esp-32s-doit-cp2102-type-c-38-pin-board-wifi-bluetooth-iot-dual-core-proyek-elektronik-1731127910335219262
9v Battery,Used to power ignition,4,$0.26,$1.04,https://www.tokopedia.com/kastiltermurah/baterai-battery-batre-batere-kotak-9v-9volt-9-volt-v-batu-huadao?t_id=1774754724547&t_st=3&t_pp=cart&t_efo=cart&t_ef=goods_search&t_sm=&t_spt=cart
1 Channel 5v relay,"Used to initiate the 9v 
battery to heat nichrome",1,$0.98,$0.98,https://www.tokopedia.com/cncstorebandung/relay-1-channel-relay-5v-with-optocoupler-high-quality-1733708580343678526
Nichrome wire,"Used as the heating element
to ignite rocket motor",2,$0.18,$0.36,https://www.tokopedia.com/pcmelektronikpusat/kawat-nikelin-nikel-pemanas-0-2mm-meteran-nichrome-wire-0-2mm-mm-bulat
,,,Total Cost:,$16.69,
,,,,,
,,,,,
Total Overall Cost:,$273.28,,Avg. Shipping Cost:,$13.65,
,,,,,
"Note: All these costs are 
converted from Indonesian IDR
to USD as of March 15, 2026",,,,,
"Note: Shipping here in Indonesia is
mostly free and uniform which is why
I added the average delivery cost
except for the CNC",,,,,
